Country,Continent,ISO_Code,Level,GDLCODE,Region,"1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Afghanistan","Asia/Pacific","AFG","National","AFGt","Total",978.1,934.5,618.7,596.2,570.3,545.2,544.8,549.4,572.3,566.8,511.1,479.6,487.0,511.7,490.2,617.0,669.7,859.7,1404,2059,2498,3501,3064,2714,2663,2787,2620,2803,2638,2477,1775,1847,1888
"Afghanistan","Asia/Pacific","AFG","Subnat","AFGr101","Central (Kabul, Wardak, Kapisa, Logar, Parwan, Panjsher)",4221,4004,2512,2414,2159,2300,2357,2368,2582,2513,2309,2090,2106,2212,2047,2714,2968,3958,6513,9466,11394,16064,13710,12387,12557,12936,12551,13506,11980,11313,7988,8260,8389
"Afghanistan","Asia/Pacific","AFG","Subnat","AFGr102","Central Highlands (Bamyan, Daikundi)",221.9,213.9,154.5,155.0,153.9,122.0,120.3,124.2,118.9,120.7,88.73,91.44,92.00,93.88,98.46,111.5,108.2,126.5,173.0,254.7,302.2,459.3,371.3,322.6,311.4,349.4,325.6,378.1,346.6,306.5,205.7,213.1,230.1
"Afghanistan","Asia/Pacific","AFG","Subnat","AFGr103","East (Nangarhar, Kunar, Laghman, Nooristan)",867.1,839.1,564.5,569.1,607.0,507.9,480.6,485.8,472.9,481.3,430.1,415.5,426.3,455.3,434.8,547.3,612.0,799.4,1502,2415,3005,4200,3918,3344,3077,3311,2906,3045,3215,3017,2183,2275,2313
"Afghanistan","Asia/Pacific","AFG","Subnat","AFGr104","North (Samangan, Sar-e-Pul, Balkh, Jawzjan, Faryab)",693.9,660.3,461.3,458.2,446.3,407.1,404.5,406.9,427.1,429.8,392.2,380.5,386.7,414.0,403.1,475.4,514.8,619.9,1040,1494,1843,2473,2203,1988,1890,1992,1848,1978,1959,1830,1317,1382,1412
"Afghanistan","Asia/Pacific","AFG","Subnat","AFGr105","North East (Baghlan, Takhar, Badakhshan, Kunduz)",625.4,603.7,412.6,378.0,353.1,297.4,281.5,284.6,281.1,272.1,223.2,220.3,231.1,245.6,247.9,294.6,317.8,390.9,617.6,908.7,1095,1491,1431,1195,1131,1234,1077,1090,1148,1079,873.2,933.7,963.7
"Afghanistan","Asia/Pacific","AFG","Subnat","AFGr106","South (Uruzgan, Helmand, Zabul, Nimroz, Kandahar)",287.9,282.3,235.1,228.1,242.2,231.8,237.0,240.0,239.9,246.5,248.7,246.5,254.5,252.4,262.4,294.1,313.0,358.4,456.0,582.5,688.4,945.9,833.8,719.9,697.7,718.0,675.5,724.3,715.4,671.9,459.4,486.0,516.4
"Afghanistan","Asia/Pacific","AFG","Subnat","AFGr107","South East (Ghazni, Paktya, Paktika, Khost)",595.1,579.6,399.8,357.6,393.3,305.2,289.1,303.0,269.1,273.5,206.8,202.0,205.5,207.2,211.6,247.7,263.0,314.9,467.2,697.7,835.9,1209,1047,904.8,857.2,920.3,834.6,895.2,908.5,840.0,583.3,610.1,645.4
"Afghanistan","Asia/Pacific","AFG","Subnat","AFGr108","West (Ghor, Herat, Badghis, Farah)",312.8,293.3,209.8,209.7,207.7,190.1,188.7,183.4,186.9,197.1,190.6,189.9,193.7,213.1,216.4,250.9,260.6,309.4,463.3,653.9,821.2,1162,996.8,851.8,786.8,834.2,743.5,810.3,833.1,760.5,594.4,612.8,636.9
"Albania","Europe","ALB","National","ALBt","Total",27868,18750,10888,10380,10929,9709,9714,7913,9235,13159,13719,14576,16412,17713,18590,17708,18056,18823,18542,20059,22144,24119,22023,22932,24112,23551,21916,26506,26724,24665,21025,21542,22380
