country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,978.1,934.5,618.7,596.2,570.3,545.2,544.8,549.4,572.3,566.8,511.1,479.6,487.0,511.7,490.2,617.0,669.7,859.7,1404.0,2059.0,2498.0,3501.0,3064.0,2714.0,2663.0,2787.0,2620.0,2803.0,2638.0,2477.0,1775.0,1847.0,1888.0
Afghanistan,4221.0,4004.0,2512.0,2414.0,2159.0,2300.0,2357.0,2368.0,2582.0,2513.0,2309.0,2090.0,2106.0,2212.0,2047.0,2714.0,2968.0,3958.0,6513.0,9466.0,11394.0,16064.0,13710.0,12387.0,12557.0,12936.0,12551.0,13506.0,11980.0,11313.0,7988.0,8260.0,8389.0
Afghanistan,221.9,213.9,154.5,155.0,153.9,122.0,120.3,124.2,118.9,120.7,88.73,91.44,92.0,93.88,98.46,111.5,108.2,126.5,173.0,254.7,302.2,459.3,371.3,322.6,311.4,349.4,325.6,378.1,346.6,306.5,205.7,213.1,230.1
Afghanistan,867.1,839.1,564.5,569.1,607.0,507.9,480.6,485.8,472.9,481.3,430.1,415.5,426.3,455.3,434.8,547.3,612.0,799.4,1502.0,2415.0,3005.0,4200.0,3918.0,3344.0,3077.0,3311.0,2906.0,3045.0,3215.0,3017.0,2183.0,2275.0,2313.0
Afghanistan,693.9,660.3,461.3,458.2,446.3,407.1,404.5,406.9,427.1,429.8,392.2,380.5,386.7,414.0,403.1,475.4,514.8,619.9,1040.0,1494.0,1843.0,2473.0,2203.0,1988.0,1890.0,1992.0,1848.0,1978.0,1959.0,1830.0,1317.0,1382.0,1412.0
Afghanistan,625.4,603.7,412.6,378.0,353.1,297.4,281.5,284.6,281.1,272.1,223.2,220.3,231.1,245.6,247.9,294.6,317.8,390.9,617.6,908.7,1095.0,1491.0,1431.0,1195.0,1131.0,1234.0,1077.0,1090.0,1148.0,1079.0,873.2,933.7,963.7
Afghanistan,287.9,282.3,235.1,228.1,242.2,231.8,237.0,240.0,239.9,246.5,248.7,246.5,254.5,252.4,262.4,294.1,313.0,358.4,456.0,582.5,688.4,945.9,833.8,719.9,697.7,718.0,675.5,724.3,715.4,671.9,459.4,486.0,516.4
Afghanistan,595.1,579.6,399.8,357.6,393.3,305.2,289.1,303.0,269.1,273.5,206.8,202.0,205.5,207.2,211.6,247.7,263.0,314.9,467.2,697.7,835.9,1209.0,1047.0,904.8,857.2,920.3,834.6,895.2,908.5,840.0,583.3,610.1,645.4
Afghanistan,312.8,293.3,209.8,209.7,207.7,190.1,188.7,183.4,186.9,197.1,190.6,189.9,193.7,213.1,216.4,250.9,260.6,309.4,463.3,653.9,821.2,1162.0,996.8,851.8,786.8,834.2,743.5,810.3,833.1,760.5,594.4,612.8,636.9
Albania,27868.0,18750.0,10888.0,10380.0,10929.0,9709.0,9714.0,7913.0,9235.0,13159.0,13719.0,14576.0,16412.0,17713.0,18590.0,17708.0,18056.0,18823.0,18542.0,20059.0,22144.0,24119.0,22023.0,22932.0,24112.0,23551.0,21916.0,26506.0,26724.0,24665.0,21025.0,21542.0,22380.0
Albania,17317.0,11414.0,6126.0,5733.0,5918.0,5354.0,5549.0,4555.0,5227.0,7259.0,7727.0,8036.0,9530.0,9315.0,9538.0,9287.0,9010.0,8848.0,8458.0,8549.0,8747.0,9223.0,8603.0,8866.0,9173.0,9156.0,8810.0,9516.0,9131.0,9029.0,6704.0,6756.0,7923.0
Albania,9285.0,6313.0,3656.0,3232.0,3350.0,3301.0,3681.0,3117.0,3488.0,5994.0,6162.0,6386.0,7527.0,7615.0,7734.0,7781.0,7579.0,7487.0,7520.0,7505.0,7583.0,7795.0,7518.0,7811.0,8004.0,8063.0,7859.0,8177.0,7944.0,7906.0,5547.0,5617.0,6002.0
Albania,103429.0,67840.0,39836.0,40575.0,43197.0,37972.0,36924.0,30810.0,35135.0,46730.0,48956.0,52771.0,57615.0,63221.0,68619.0,62203.0,69462.0,74449.0,70793.0,84911.0,102078.0,114112.0,102428.0,106836.0,109684.0,108752.0,97564.0,128560.0,132867.0,117492.0,107512.0,110642.0,113757.0
Albania,32560.0,22391.0,10239.0,9694.0,9551.0,9114.0,8745.0,7108.0,7987.0,12609.0,12424.0,13421.0,14010.0,15824.0,16312.0,14917.0,15096.0,14724.0,13913.0,14457.0,17484.0,18837.0,17023.0,17130.0,21716.0,17301.0,16002.0,20403.0,20747.0,19052.0,16824.0,19109.0,19535.0
Albania,39603.0,29997.0,21309.0,20170.0,22918.0,14506.0,13617.0,11418.0,12460.0,16114.0,17319.0,16966.0,20628.0,20008.0,18173.0,19725.0,17852.0,17712.0,19469.0,17294.0,16242.0,17690.0,15490.0,15385.0,17721.0,17188.0,16878.0,17817.0,16336.0,15737.0,12156.0,11912.0,12468.0
Albania,9980.0,5988.0,3753.0,3579.0,4202.0,4241.0,4288.0,3612.0,4431.0,6053.0,6366.0,6729.0,8043.0,8392.0,9214.0,9046.0,8434.0,8920.0,8804.0,9149.0,9153.0,9484.0,9272.0,9581.0,9928.0,9842.0,9282.0,9749.0,9355.0,9396.0,6629.0,6622.0,7047.0
Albania,13027.0,8827.0,5160.0,5353.0,5870.0,5468.0,5644.0,4725.0,5581.0,7693.0,8170.0,8521.0,10066.0,10253.0,11068.0,11058.0,10104.0,10269.0,10107.0,10632.0,10706.0,11137.0,10467.0,11029.0,11292.0,11270.0,10786.0,11325.0,10979.0,10853.0,7828.0,7789.0,8216.0
Albania,7467.0,4941.0,3118.0,2977.0,3160.0,3109.0,3446.0,3160.0,3604.0,5569.0,5853.0,6199.0,7157.0,7367.0,7741.0,7736.0,7445.0,7491.0,7713.0,7692.0,7692.0,7909.0,7680.0,7988.0,8197.0,8224.0,8005.0,8370.0,8125.0,8164.0,5758.0,5793.0,6232.0
Albania,23183.0,14746.0,8284.0,7246.0,7429.0,7059.0,7368.0,5771.0,6596.0,12355.0,12230.0,13819.0,15239.0,17969.0,19622.0,18317.0,20909.0,22733.0,22479.0,28394.0,34548.0,38265.0,34684.0,35879.0,36522.0,36228.0,31722.0,42026.0,43295.0,37283.0,35583.0,36428.0,37023.0
Albania,13403.0,9118.0,5135.0,4358.0,4316.0,4241.0,4502.0,3663.0,4428.0,7519.0,7833.0,8132.0,9161.0,9437.0,9406.0,9314.0,8784.0,9124.0,9471.0,9037.0,9095.0,9561.0,9070.0,9444.0,9705.0,9683.0,9357.0,10140.0,9851.0,9729.0,7005.0,7038.0,7488.0
Albania,54392.0,36262.0,19458.0,17185.0,16483.0,17471.0,18096.0,13012.0,17073.0,22569.0,23776.0,25784.0,28449.0,33483.0,35255.0,33562.0,32282.0,34210.0,33980.0,33530.0,33059.0,35734.0,32706.0,35548.0,37341.0,36912.0,37067.0,41557.0,41888.0,41095.0,33426.0,33374.0,34843.0
Albania,10771.0,7160.0,4576.0,4454.0,4757.0,4676.0,4703.0,4002.0,4814.0,7448.0,7814.0,8148.0,9515.0,9669.0,10401.0,9546.0,9720.0,9909.0,9797.0,9557.0,9344.0,9678.0,9331.0,9688.0,10059.0,9992.0,9664.0,10432.0,10168.0,10241.0,7325.0,7426.0,8023.0
Algeria,16455.0,17821.0,17948.0,18294.0,17209.0,17384.0,17051.0,17314.0,17625.0,18545.0,18827.0,18962.0,21271.0,21958.0,22437.0,23939.0,25828.0,27584.0,28034.0,30176.0,31197.0,32802.0,35204.0,36799.0,39700.0,41470.0,41011.0,41996.0,44786.0,46626.0,43902.0,47544.0,47179.0
Algeria,6155.0,6346.0,6869.0,6879.0,6643.0,6834.0,6830.0,6745.0,7481.0,7559.0,7761.0,7539.0,7703.0,8331.0,8266.0,8798.0,8915.0,9052.0,9589.0,10056.0,11263.0,12502.0,13413.0,13654.0,14451.0,16309.0,16506.0,17086.0,18808.0,18662.0,17528.0,18482.0,17683.0
Algeria,9920.0,10640.0,10843.0,11122.0,10354.0,10446.0,10553.0,10694.0,11033.0,11399.0,11826.0,12031.0,13068.0,13761.0,16039.0,17772.0,18146.0,19113.0,19712.0,22448.0,23408.0,24685.0,26264.0,27263.0,30128.0,33216.0,33495.0,34806.0,36151.0,41221.0,38228.0,41070.0,39452.0
Algeria,2493.0,2603.0,2593.0,2631.0,2508.0,2515.0,2522.0,2571.0,2709.0,2783.0,2824.0,2832.0,2990.0,3202.0,3249.0,3448.0,3470.0,3627.0,3800.0,3979.0,3914.0,4214.0,4575.0,4741.0,4978.0,5218.0,5147.0,5252.0,5535.0,5586.0,5087.0,7217.0,6946.0
Algeria,34521.0,36650.0,36890.0,37565.0,35308.0,36065.0,36024.0,37173.0,37348.0,38593.0,39375.0,40027.0,47309.0,48740.0,48835.0,52540.0,53226.0,60669.0,62257.0,73401.0,75207.0,79887.0,84244.0,84590.0,88465.0,90247.0,93704.0,95838.0,99794.0,101568.0,94344.0,101265.0,97218.0
