country,annual_temperature_anomalies,(GVI),(ton),(m),(ºC),HDR23_24_Composite_indices_complete_time_series,number_of_deaths_from_disasters,share_global_forest
Afghanistan,0.44695863,83.0,2787.0,0.017,9.999,0.479,446.0,0.0295905564566288
Albania,0.58233005,35.0,23551.0,0.038,13.49,0.797,1.0,0.0193244987534472
Algeria,0.18408029,42.0,41470.0,0.01,18.69,0.736,12.0,0.0478957403174059
American Samoa,-0.030792395,,,,,,,0.00042312801262
Andorra,0.8946905,,31069.0,0.03,6.261,0.856,,0.0003917851968703
Angola,0.58690405,75.0,19926.0,0.038,22.97,0.591,75.0,1.6989444288154802
Anguilla,0.19188023,,,,,,,0.0001346761614241
Antarctica (NIAID),-0.47459045,,,,,,,
Antigua and Barbuda,0.10512861,36.0,51874.0,0.022,26.3,0.818,1,0.0002069115570971
Arctic Ocean (NIAID),0.43879822,,,,,,,
Argentina,0.43389192,30.0,8100.0,0.03,15.94,0.85,16.0,0.7124858670836202
Armenia,0.776906,33.0,44580.0,0.028,8.001,0.769,0,0.0080688161295458
Asia (NIAID),0.5956431,,,,,,,
Australia,0.33910608,22.0,13487.0,0.018,19.41,0.933,16.0,3.259028430304185
Australia (NIAID),0.338883,,,,,,,
Austria,1.0680054,23.0,163607.0,0.035,8.177,0.91,,0.0950370492650883
Azerbaijan,0.5785393,40.0,43127.0,0.021,12.28,0.751,,0.02639376065619
Bahamas,0.5699789,,,,,0.807,33.0,0.0124847250297712
Bahrain,0.35131994,27.0,2067471.0,0.003,26.49,0.859,,1.46919448826e-05
Baltic Sea (NIAID),0.9683834,,,,,,,
Bangladesh,0.08865976,57.0,89219.0,0.081,25.46,0.604,159.0,0.0461180149866065
Belarus,1.3248514,31.0,21692.0,0.019,8.636,0.809,,0.2114048435737854
Belgium,0.3164453,22.0,394103.0,0.027,10.69,0.924,410.0,0.0168785960126727
Belize,0.6165945,46.0,1513.0,0.054,26.22,0.714,0.0,0.0326364414965481
Benin,0.2527021,77.0,10772.0,0.036,27.44,0.509,,0.0828907286991138
Bhutan,0.03738169,46.0,4575.0,0.11,10.63,0.625,,0.0664854581774101
Bolivia,0.66096735,46.0,2745.0,0.049,18.6,,40.0,1.273968414394964
Bosnia and Herzegovina,0.6442458,39.0,59128.0,0.037,10.94,0.757,0.0,0.0529032448649057
